Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2014/11/16 00:00:00;2014/11/16 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.375;0.375;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/17 00:00:00;2014/11/17 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.375;1.375;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/17 00:00:00;2014/11/17 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.325;0.325;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/18 00:00:00;2014/11/18 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.7;mg-m3;96.0;100;96.0;R;1;48.827778;2.3275
2014/11/18 00:00:00;2014/11/18 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.5;0.5;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/19 00:00:00;2014/11/19 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.675;1.675;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/19 00:00:00;2014/11/19 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.625;0.625;mg-m3;96.0;100;96.0;R;1;48.859001;2.351
2014/11/20 00:00:00;2014/11/20 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.725;1.725;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/20 00:00:00;2014/11/20 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.4;0.4;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/21 00:00:00;2014/11/21 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;2.1;2.1;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/21 00:00:00;2014/11/21 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.65;0.65;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/22 00:00:00;2014/11/22 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.525;1.525;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/22 00:00:00;2014/11/22 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.8;0.8;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/23 00:00:00;2014/11/23 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.775;1.775;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/23 00:00:00;2014/11/23 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.675;0.675;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/24 00:00:00;2014/11/24 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.1;1.1;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/24 00:00:00;2014/11/24 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.275;0.275;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/25 00:00:00;2014/11/25 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.65;1.65;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/25 00:00:00;2014/11/25 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.525;0.525;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/26 00:00:00;2014/11/26 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.825;1.825;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/26 00:00:00;2014/11/26 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.675;0.675;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/27 00:00:00;2014/11/27 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.8;1.8;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
2014/11/27 00:00:00;2014/11/27 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04143;PARIS Centre;Urbaine;CO;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.6;0.6;mg-m3;100.0;100;100.0;R;1;48.859001;2.351
2014/11/28 00:00:00;2014/11/28 23:59:59;AIRPARIF;FR04A01;ILE-DE-FRANCE-PARIS;FR04012;Place Victor Basch;Urbaine;CO;Trafic;Oui;mesures fixes;Max. journalier moy. hor.;1.65;1.65;mg-m3;100.0;100;100.0;R;1;48.827778;2.3275
