Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2020/08/14 00:00:00;2020/08/14 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;97.2;97.2;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/14 00:00:00;2020/08/14 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;90.0;90.0;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/14 00:00:00;2020/08/14 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;53.8;53.75;µg-m3;25.0;100;25.0;N;-1;48.86212;2.344616
2020/08/15 00:00:00;2020/08/15 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;111.0;110.95;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/15 00:00:00;2020/08/15 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;110.4;110.4;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/16 00:00:00;2020/08/16 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;112.7;112.7;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/16 00:00:00;2020/08/16 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;103.6;103.55;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/17 00:00:00;2020/08/17 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;76.2;76.2;µg-m3;100.0;100;100.0;R;1;48.891666;2.346667
2020/08/17 00:00:00;2020/08/17 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;72.2;72.15;µg-m3;100.0;100;100.0;R;1;48.82861;2.360278
2020/08/17 00:00:00;2020/08/17 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;70.5;70.45;µg-m3;50.0;100;50.0;N;-1;48.86212;2.344616
